short_uuid	uuid	sample_name	fastqs_parent_dir_path	fastqs_dir_name	fastqs_sample_prefix	expect_cells
f7c048d0	f7c048d0-9f70-11ea-8cd1-a0000220fe80	FCA10_Male_head_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA10_Male_head_adult_5dWT_Luo_sample4	10000
f7ca8a02	f7ca8a02-9f70-11ea-89fd-a0000220fe80	FCA11_Male_head_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA11_Male_head_adult_5dWT_Luo_sample5	10000
f7d3b3d4	f7d3b3d4-9f70-11ea-8c3b-a0000220fe80	FCA12_Male_head_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA12_Male_head_adult_5dWT_Luo_sample6	10000
f7dc3ba8	f7dc3ba8-9f70-11ea-896f-a0000220fe80	FCA13_Female_head_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA13_Female_head_adult_5dWT_Luo_sample4	10000
f7e4c476	f7e4c476-9f70-11ea-b632-a0000220fe80	FCA14_Female_head_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA14_Female_head_adult_5dWT_Luo_sample5	10000
f7ed0992	f7ed0992-9f70-11ea-afaa-a0000220fe80	FCA15_Female_head_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA15_Female_head_adult_5dWT_Luo_sample6	10000
f7f586bc	f7f586bc-9f70-11ea-adf7-a0000220fe80	FCA16_Male_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA16_Male_body_adult_5dWT_Luo_sample1	10000
f7fd9b2c	f7fd9b2c-9f70-11ea-a4da-a0000220fe80	FCA17_Male_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA17_Male_body_adult_5dWT_Luo_sample2	10000
f8063598	f8063598-9f70-11ea-9d23-a0000220fe80	FCA18_Male_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA18_Male_body_adult_5dWT_Luo_sample3	10000
f80ebbdc	f80ebbdc-9f70-11ea-a253-a0000220fe80	FCA19_Male_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA19_Male_body_adult_5dWT_Luo_sample4	10000
f817481a	f817481a-9f70-11ea-8a60-a0000220fe80	FCA20_Male_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA20_Male_body_adult_5dWT_Luo_sample5	10000
f82124ca	f82124ca-9f70-11ea-9908-a0000220fe80	FCA21_Male_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA21_Male_body_adult_5dWT_Luo_sample6	10000
f829fffa	f829fffa-9f70-11ea-b1d6-a0000220fe80	FCA22_Female_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA22_Female_body_adult_5dWT_Luo_sample1	10000
f8328e36	f8328e36-9f70-11ea-a3a1-a0000220fe80	FCA23_Female_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA23_Female_body_adult_5dWT_Luo_sample2	10000
f83b3be4	f83b3be4-9f70-11ea-a19e-a0000220fe80	FCA24_Female_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA24_Female_body_adult_5dWT_Luo_sample3	10000
f8438c5e	f8438c5e-9f70-11ea-b0ba-a0000220fe80	FCA25_Female_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA25_Female_body_adult_5dWT_Luo_sample4	10000
f84bfd1c	f84bfd1c-9f70-11ea-9f2a-a0000220fe80	FCA26_Female_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA26_Female_body_adult_5dWT_Luo_sample5	10000
f8548b44	f8548b44-9f70-11ea-be60-a0000220fe80	FCA27_Female_body_adult	/ddn1/vol1/staging/leuven/stg_00002/lcb/lcb_projects/fca/data/in-house/raw/index_hopping_filter_batch2_run4/outs/fastq_path	n/a	FCA27_Female_body_adult_5dWT_Luo_sample6	10000
