short_uuid	uuid	sample_name	processing_date	fastqs_parent_dir_path	fastqs_dir_name	fastqs_sample_prefix	expect_cells
6d9f44c6	6d9f44c6-f024-11ea-a84a-20001110fe80	FCA46_Female_fatbodyGFP_adult_3dcgGAL4LamGFPT_Jasper_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA46_Female_fatbodyGFP_adult_3dcgGAL4LamGFPT_Jasper_sample1	10000
6dae9a5c	6dae9a5c-f024-11ea-a84a-20001110fe80	FCA47_Male_haltere_adult_5dWT_Luo_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA47_Male_haltere_adult_5dWT_Luo_sample1	10000
6dbdf10a	6dbdf10a-f024-11ea-a84a-20001110fe80	FCA48_Female_haltere_adult_5dWT_Luo_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA48_Female_haltere_adult_5dWT_Luo_sample1	10000
6dcd4844	6dcd4844-f024-11ea-a84a-20001110fe80	FCA49_Male_BloodGFP_adult_5dWT_Brueckner_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA49_Male_BloodGFP_adult_5dWT_Brueckner_sample1	10000
6ddc9ef2	6ddc9ef2-f024-11ea-a84a-20001110fe80	FCA50_Female_BloodGFP_adult_5dWT_Brueckner_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA50_Female_BloodGFP_adult_5dWT_Brueckner_sample1	10000
6debf5fa	6debf5fa-f024-11ea-a84a-20001110fe80	FCA51_Male_proboscis_and_maxpalp_adult_5dWT_Scott_sample2	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA51_Male_proboscis_and_maxpalp_adult_5dWT_Scott_sample2	10000
6dfb4e9c	6dfb4e9c-f024-11ea-a84a-20001110fe80	FCA52_Female_proboscis_and_maxpalp_adult_5dWT_Scott_sample2	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA52_Female_proboscis_and_maxpalp_adult_5dWT_Scott_sample2	10000
6e19fc98	6e19fc98-f024-11ea-a84a-20001110fe80	FCA54_Female_oenocyteGFP_adult_5dWT_Jasper_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA54_Female_oenocyteGFP_adult_5dWT_Jasper_sample1	10000
6e294c34	6e294c34-f024-11ea-a84a-20001110fe80	FCA55_Male_antenna_adult_5dWT_Luo_sample2	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA55_Male_antenna_adult_5dWT_Luo_sample2	10000
6e38a0f8	6e38a0f8-f024-11ea-a84a-20001110fe80	FCA56_Female_antenna_adult_5dWT_Luo_sample2	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA56_Female_antenna_adult_5dWT_Luo_sample2	10000
6e47f1ca	6e47f1ca-f024-11ea-a84a-20001110fe80	FCA57_Male_TracheaGFP_adult_5dWT_Kornberg_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA57_Male_TracheaGFP_adult_5dWT_Kornberg_sample1	10000
6e574292	6e574292-f024-11ea-a84a-20001110fe80	FCA58_Female_TracheaGFP_adult_5dWT_Kornberg_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA58_Female_TracheaGFP_adult_5dWT_Kornberg_sample1	10000
6e669170	6e669170-f024-11ea-a84a-20001110fe80	FCA59_Male_testis_adult_1dWT_Fuller_sample1	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA59_Male_testis_adult_1dWT_Fuller_sample1	10000
6e75e580	6e75e580-f024-11ea-a84a-20001110fe80	FCA60_Male_testis_adult_1dWT_Fuller_sample2	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA60_Male_testis_adult_1dWT_Fuller_sample2	10000
6e853dd2	6e853dd2-f024-11ea-a84a-20001110fe80	FCA61_Male_testis_adult_1dWT_Fuller_sample3	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA61_Male_testis_adult_1dWT_Fuller_sample3	10000
6e949598	6e949598-f024-11ea-a84a-20001110fe80	FCA62_Female_ovary_adult_5dWT_Nystul_All_Nuclei	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA62_Female_ovary_adult_5dWT_Nystul_All_Nuclei	10000
6ea3ec82	6ea3ec82-f024-11ea-a84a-20001110fe80	FCA63_Female_ovary_adult_5dWT_Nystul_Big_Nuclei	20200906	index_hopping_filter_batch4_run1/outs/fastq_path/	.	FCA63_Female_ovary_adult_5dWT_Nystul_Big_Nuclei	10000
