R1,R2,SampleId
FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L002_R1_001.fastq.gz,FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L002_R2_001.fastq.gz,1
FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L003_R1_001.fastq.gz,FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L003_R2_001.fastq.gz,1
FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L004_R1_001.fastq.gz,FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L004_R2_001.fastq.gz,1
FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L001_R1_001.fastq.gz,FCA10_Male_head_adult_5dWT_Luo_sample4/FCA10_Male_head_adult_5dWT_Luo_sample4_S1_L001_R2_001.fastq.gz,1
FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L004_R1_001.fastq.gz,FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L004_R2_001.fastq.gz,2
FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L002_R1_001.fastq.gz,FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L002_R2_001.fastq.gz,2
FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L003_R1_001.fastq.gz,FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L003_R2_001.fastq.gz,2
FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L001_R1_001.fastq.gz,FCA11_Male_head_adult_5dWT_Luo_sample5/FCA11_Male_head_adult_5dWT_Luo_sample5_S2_L001_R2_001.fastq.gz,2
FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L003_R1_001.fastq.gz,FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L003_R2_001.fastq.gz,3
FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L004_R1_001.fastq.gz,FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L004_R2_001.fastq.gz,3
FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L002_R1_001.fastq.gz,FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L002_R2_001.fastq.gz,3
FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L001_R1_001.fastq.gz,FCA12_Male_head_adult_5dWT_Luo_sample6/FCA12_Male_head_adult_5dWT_Luo_sample6_S3_L001_R2_001.fastq.gz,3
FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L002_R1_001.fastq.gz,FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L002_R2_001.fastq.gz,4
FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L003_R1_001.fastq.gz,FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L003_R2_001.fastq.gz,4
FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L004_R1_001.fastq.gz,FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L004_R2_001.fastq.gz,4
FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L001_R1_001.fastq.gz,FCA13_Female_head_adult_5dWT_Luo_sample4/FCA13_Female_head_adult_5dWT_Luo_sample4_S4_L001_R2_001.fastq.gz,4
FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L003_R1_001.fastq.gz,FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L003_R2_001.fastq.gz,5
FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L002_R1_001.fastq.gz,FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L002_R2_001.fastq.gz,5
FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L004_R1_001.fastq.gz,FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L004_R2_001.fastq.gz,5
FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L001_R1_001.fastq.gz,FCA14_Female_head_adult_5dWT_Luo_sample5/FCA14_Female_head_adult_5dWT_Luo_sample5_S5_L001_R2_001.fastq.gz,5
FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L004_R1_001.fastq.gz,FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L004_R2_001.fastq.gz,6
FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L003_R1_001.fastq.gz,FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L003_R2_001.fastq.gz,6
FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L002_R1_001.fastq.gz,FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L002_R2_001.fastq.gz,6
FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L001_R1_001.fastq.gz,FCA15_Female_head_adult_5dWT_Luo_sample6/FCA15_Female_head_adult_5dWT_Luo_sample6_S6_L001_R2_001.fastq.gz,6
FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L003_R1_001.fastq.gz,FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L003_R2_001.fastq.gz,7
FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L004_R1_001.fastq.gz,FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L004_R2_001.fastq.gz,7
FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L002_R1_001.fastq.gz,FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L002_R2_001.fastq.gz,7
FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L001_R1_001.fastq.gz,FCA16_Male_body_adult_5dWT_Luo_sample1/FCA16_Male_body_adult_5dWT_Luo_sample1_S7_L001_R2_001.fastq.gz,7
FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L004_R1_001.fastq.gz,FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L004_R2_001.fastq.gz,8
FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L001_R1_001.fastq.gz,FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L001_R2_001.fastq.gz,8
FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L002_R1_001.fastq.gz,FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L002_R2_001.fastq.gz,8
FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L003_R1_001.fastq.gz,FCA17_Male_body_adult_5dWT_Luo_sample2/FCA17_Male_body_adult_5dWT_Luo_sample2_S8_L003_R2_001.fastq.gz,8
FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L002_R1_001.fastq.gz,FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L002_R2_001.fastq.gz,9
FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L004_R1_001.fastq.gz,FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L004_R2_001.fastq.gz,9
FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L001_R1_001.fastq.gz,FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L001_R2_001.fastq.gz,9
FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L003_R1_001.fastq.gz,FCA18_Male_body_adult_5dWT_Luo_sample3/FCA18_Male_body_adult_5dWT_Luo_sample3_S9_L003_R2_001.fastq.gz,9
